SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
2415,0,,Other,Other
2416,0,,Other,Other
2417,0,,Other,Other
2418,0,,Other,Other
2419,0,,Other,Other
2420,0,,Other,Other
2421,0,,Other,Other
2422,0,,Other,Other
2423,0,,Other,Other
2424,0,,Other,Other
2425,0,,Other,Other
2426,0,,Other,Other
2427,0,,Other,Other
2428,0,,Other,Other
2429,0,,Other,Other
2430,0,,Other,Other
2431,0,,Other,Other
2432,0,,Other,Other
2433,0,,Other,Other
2434,0,,Other,Other
2435,0,,Other,Other
2436,0,,Other,Other
2437,0,,Other,Other
2438,0,,Other,Other
2439,0,,Other,Other
2440,0,,Other,Other
2441,0,,Other,Other
2442,0,,Other,Other
2443,0,,Other,Other
2444,0,,Other,Other
2445,0,,Other,Other
2446,0,,Other,Other
2447,0,,Other,Other
2448,0,,Other,Other
2449,0,,Other,Other
2450,0,,Other,Other
2451,0,,Other,Other
2452,0,,Other,Other
2453,0,,Other,Other
2454,0,,Other,Other
2455,0,,Other,Other
2456,0,,Other,Other
2457,0,,Other,Other
2458,0,,Other,Other
2459,0,,Other,Other
2460,0,,Other,Other
2461,0,,Other,Other
2462,0,,Other,Other
2463,0,,Other,Other
2464,0,,Other,Other
2465,0,,Other,Other
2466,0,,Other,Other
2467,0,,Other,Other
2468,0,,Other,Other
2469,0,,Other,Other
2470,0,,Other,Other
2471,0,,Other,Other
2472,0,,Other,Other
2473,0,,Other,Other
2474,0,,Other,Other
2475,0,,Other,Other
2476,0,,Other,Other
2477,0,,Other,Other
2478,0,,Other,Other
2479,0,,Other,Other
2480,0,,Other,Other
2481,0,,Other,Other
2482,0,,Other,Other
2483,0,,Other,Other
2484,0,,Other,Other
2485,0,,Other,Other
2486,0,,Other,Other
2487,0,,Other,Other
2488,0,,Other,Other
2489,0,,Other,Other
2490,0,,Other,Other
2491,0,,Other,Other
2492,0,,Other,Other
2493,0,,Other,Other
2494,0,,Other,Other
2495,0,,Other,Other
2496,0,,Other,Other
2497,0,,Other,Other
2498,0,,Other,Other
2499,0,,Other,Other
2500,0,,Other,Other
2501,0,,Other,Other
2502,0,,Other,Other
2503,0,,Other,Other
2504,0,,Other,Other
2505,0,,Other,Other
2506,0,,Other,Other
2507,0,,Other,Other
2508,0,,Other,Other
2509,0,,Other,Other
2510,0,,Other,Other
2511,0,,Other,Other
2512,0,,Other,Other
2513,0,,Other,Other
2514,0,,Other,Other
2515,0,,Other,Other
2516,0,,Other,Other
2517,0,,Other,Other
2518,0,,Other,Other
2519,0,,Other,Other
2520,0,,Other,Other
2521,0,,Other,Other
2522,0,,Other,Other
2523,0,,Other,Other
2524,0,,Other,Other
2525,0,,Other,Other
2526,0,,Other,Other
2527,0,,Other,Other
2528,0,,Other,Other
2529,0,,Other,Other
2530,0,,Other,Other
2531,0,,Other,Other
2532,0,,Other,Other
2533,0,,Other,Other
2534,0,,Other,Other
